Core-index,Vocab-expression,Vocab-kana,Vocab-meaning,jlpt ,Vocab-pos
3376,王様,おうさま,king,JLPT2,Noun
5982,悪賢い,わるがしこい,cunning; sly,JLPT0,Adjective
2905,頻りに,しきりに,frequently; repeatedly,JLPT0,Adverb
2778,心理,しんり,mental state; psychology,JLPT2,Noun
3105,決勝,けっしょう,final; final game,JLPT1,Noun
3272,頑固,がんこ,stubborn; obstinate,JLPT1,Adjectival Noun
5554,ぴょんぴょん,ぴょんぴょん,jump; hop,JLPT0,Adverb
3806,あきれる,あきれる,be stunned in disappointment or disbelief,JLPT2,Verb
3986,せいぜい,せいぜい,at most,JLPT0,Adverb
2918,祝い,いわい,celebration; congratulation,JLPT2,Noun
3266,頂く,いただく,receive; eat,JLPT2,Verb
4475,到達,とうたつ,arrival; attainment,JLPT1,Verbal Noun
4681,頂上,ちょうじょう,summit; climax,JLPT2,Noun
4997,見下ろす,みおろす,look down; overlook,JLPT2,Verb
5560,マヨネーズ,マヨネーズ,mayonnaise,JLPT0,Noun
2188,勢力,せいりょく,influence; power,JLPT1,Noun
2448,学問,がくもん,learning; scholarship,JLPT2,Verbal Noun
2898,青春,せいしゅん,youth,JLPT1,Noun
3017,赤ん坊,あかんぼう,baby,JLPT3,Noun
3956,秋分,しゅうぶん,autumnal equinox,JLPT0,Noun
3959,春分,しゅんぶん,vernal equinox,JLPT0,Noun
5382,不機嫌,ふきげん,bad mood; displeasure,JLPT0,Adjectival Noun
5735,近頃,ちかごろ,recently; nowadays,JLPT2,Noun
4478,矛盾,むじゅん,contradiction,JLPT2,Verbal Noun
4381,倉庫,そうこ,warehouse; storehouse,JLPT2,Noun
4778,創立,そうりつ,establishment; organization,JLPT1,Verbal Noun
2382,一斉に,いっせいに,all together; all at once,JLPT0,Adverb
2421,強力,きょうりょく,powerful,JLPT2,Adjectival Noun
2473,液体,えきたい,liquid; fluid,JLPT2,Noun
2431,真剣,しんけん,serious; sincere,JLPT2,Adjective
2562,演じる,えんじる,perform; play,JLPT1,Verb
2795,刑務所,けいむしょ,prison,JLPT0,Noun
2811,刑事,けいじ,detective,JLPT2,Noun
4929,罰金,ばっきん,fine; penalty,JLPT0,Noun
5623,罰する,ばっする,punish,JLPT2,Verb
5678,罰,ばつ,punishment; penalty,JLPT1,Noun
2253,一般に,いっぱんに,generally; in general,JLPT0,Adverb
4055,老人,ろうじん,old person; elderly,JLPT2,Noun
4415,楽しみ,たのしみ,pleasure; something looked forward to,JLPT2,Noun
5595,物知り,ものしり,knowledgeable person; know-it-all,JLPT0,Noun
5138,豆,まめ,bean; peas,JLPT2,Noun
5257,煮る,にる,boil; cook,JLPT2,Verb
5544,煮える,にえる,boil; be boiled,JLPT2,Verb
5417,蒸し暑い,むしあつい,humid,JLPT2,Adjective
3142,強烈,きょうれつ,intense; severe,JLPT1,Adjective
4399,黙る,だまる,become silent; shut one's mouth,JLPT2,Verb
3722,獣,けもの,beast; brute,JLPT1,Noun
2318,税金,ぜいきん,tax,JLPT2,Noun
4672,無駄,むだ,no good; pointless,JLPT2,Adjectival Noun
5392,無駄遣い,むだづかい,wasting money,JLPT1,Verbal Noun
2536,応援,おうえん,support; cheering,JLPT2,Verbal Noun
3271,駆ける,かける,gallop; run quickly,JLPT1,Verb
3639,駆け足,かけあし,gallop; run,JLPT1,Verbal Noun
2665,気体,きたい,gas; vapor,JLPT2,Noun
5383,沸騰,ふっとう,boiling,JLPT1,Verbal Noun
3111,丘,おか,hill; slope,JLPT2,Noun
4758,見渡す,みわたす,look out over,JLPT1,Verb
4023,民間,みんかん,citizens; civilians,JLPT2,Noun
5356,返却,へんきゃく,return,JLPT0,Verbal Noun
2663,官庁,かんちょう,government office,JLPT2,Noun
3209,県庁,けんちょう,prefectural office,JLPT2,Noun
4592,庁,ちょう,public office; agency,JLPT0,Noun
5301,都庁,とちょう,Tokyo Metropolitan City Hall,JLPT0,Noun
5684,府庁,ふちょう,urban prefectural office,JLPT0,Noun
2800,栄養,えいよう,nutrition; nourishment,JLPT2,Noun
3000,洗剤,せんざい,detergent; cleanser,JLPT2,Noun
5058,ペンキ,ペンキ,paint,JLPT2,Noun
5610,つるつる,つるつる,smooth; slippery,JLPT0,Adverb
2077,生じる,しょうじる,happen; cause,JLPT2,Verb
3920,擦る,こする,rub; strike,JLPT2,Verb
4269,摩擦,まさつ,friction; rubbing,JLPT2,Verbal Noun
2571,汗,あせ,sweat,JLPT2,Noun
4050,額,ひたい,forehead; brow,JLPT2,Noun
5478,びっしょり,びっしょり,soaked,JLPT1,Adverb
5779,てのひら,てのひら,palm,JLPT0,Noun
2439,軸,じく,axis,JLPT1,Noun
2903,後輩,こうはい,one's junior,JLPT2,Noun
